"","mu_w1","mu_w2","mu_w3","mu_w4","mu_w5","mu_alpha","mu_beta","mu_a_infl","mu_b_infl","mu_sigma_infl"
"1",0.91850807,0.9405331,0.86678203,1.0059362,0.98445792,3.0350952,0.23746838,0.2550923,0.10741812,0.15192215
"2",0.89404081,0.93573684,0.84055046,1.0178708,1.0962691,2.9325114,0.17623551,0.27910075,0.11290004,0.14385532
"3",0.8822308,0.88135522,0.99024361,0.97140336,1.0101343,2.9166652,0.22748557,0.2972423,0.1101755,0.13704866
"4",0.91340602,0.87694706,0.91557151,0.92375073,0.97270863,2.9989686,0.23369977,0.34327214,0.11489783,0.14593601
"5",0.99228533,0.88098793,0.87581939,0.96001733,0.97728197,2.7653845,0.29188132,0.38295073,0.11476747,0.14933344
"6",0.94480631,0.96234504,0.90193875,0.94065528,1.005911,2.6378414,0.26725233,0.34770995,0.12280098,0.14127768
"7",0.88318185,0.90023286,0.91995465,0.92591461,0.96422538,2.4398959,0.27718766,0.30617301,0.13282835,0.13861445
"8",0.87508786,0.92250787,0.91806961,0.93010975,1.0160254,2.0196249,0.2903385,0.30966223,0.12825006,0.13531198
"9",0.89955223,0.93409038,0.93363993,0.95148701,1.0461741,1.985062,0.30107257,0.31205954,0.12638593,0.13540419
"10",0.91346547,0.87993892,0.90796759,0.93995682,0.97216189,2.2626068,0.30517782,0.37200563,0.12833974,0.13689179
"11",0.88302044,0.94968976,0.94095906,0.95795777,1.0063604,2.2552208,0.33478695,0.39117787,0.12689026,0.13962566
"12",0.85925747,0.90055338,0.92612958,0.84276311,0.95565987,2.409029,0.33787615,0.37062095,0.13197541,0.13958897
"13",0.87382746,0.87971891,0.89090028,0.91644971,0.98029267,2.3638106,0.35158104,0.37480383,0.13913045,0.13900484
"14",0.82029608,0.89991538,0.96975939,0.98928075,1.0385152,2.0555503,0.32625804,0.36703326,0.14413902,0.13876687
"15",0.87977296,0.88978547,0.90020985,0.92628638,1.0049071,2.6955416,0.32729683,0.3475496,0.14483866,0.14160927
"16",0.81583266,0.87923191,0.96460593,0.98294815,0.92956348,2.6792241,0.35336799,0.31838013,0.14716896,0.13973384
"17",0.82764509,0.94415562,0.9552629,0.95154602,0.99360302,2.6039617,0.32027744,0.3273339,0.14256124,0.14077023
"18",0.85888548,0.89457137,0.91240124,0.95252536,0.95437452,2.8543643,0.33622906,0.31956613,0.14017138,0.14066584
"19",0.95891529,0.905204,0.87083736,0.93623515,0.9923675,2.5898875,0.36611782,0.31867054,0.13993784,0.14146673
"20",0.94467102,0.90106422,0.86983125,0.92947172,0.99491236,2.7817739,0.36916813,0.30993188,0.14101729,0.1378956
"21",0.93836594,0.88630857,0.86726457,0.93920212,0.99985074,2.7500989,0.36296625,0.30924877,0.13987652,0.1383645
"22",0.92694207,0.8829746,0.93551395,0.974886,1.0202609,2.5961613,0.34717862,0.34293151,0.13785019,0.14117868
"23",0.93363467,0.8771579,0.92250385,0.95766081,1.0089647,2.4359038,0.36778646,0.33484415,0.13436662,0.14156773
"24",0.86511787,0.90404813,0.88895013,0.92005714,0.96769913,2.7773078,0.29464756,0.33106578,0.13453173,0.1416941
"25",0.89455387,0.87137224,0.91167415,0.94361598,0.9374864,2.6654153,0.30945849,0.38994211,0.13183039,0.13885357
"26",0.8410664,0.91059946,0.89241403,0.97681777,0.94288762,2.6610386,0.30488395,0.39937179,0.12886141,0.13948213
