"","subj","k","mean","2.5%","97.5%","parameter","model"
"6",6,1,0.970758939345,0.805282928,1.155988455,"w1","influence_proba"
"7",7,1,0.801901668435,0.59073834475,1.0139414375,"w1","influence_proba"
"8",8,1,1.01035030323,0.806123043,1.2441442225,"w1","influence_proba"
"9",9,1,0.7319770459725,0.5148979765,0.9442622025,"w1","influence_proba"
"10",10,1,0.8359627629125,0.680150115,0.994232514,"w1","influence_proba"
"11",11,1,0.8522448282475,0.69358236125,1.0222343225,"w1","influence_proba"
"12",12,1,0.956417155305,0.8014602,1.1219195325,"w1","influence_proba"
"13",13,1,0.800237502565,0.5791060235,1.0209062675,"w1","influence_proba"
"14",14,1,1.0511618860075,0.828227383,1.309805075,"w1","influence_proba"
"15",15,1,0.7711440778125,0.56763321175,0.979173017,"w1","influence_proba"
"16",16,1,0.765839229565,0.48690717725,1.0264215,"w1","influence_proba"
"17",17,1,1.03825698269,0.80255379775,1.2903373825,"w1","influence_proba"
"18",18,1,0.948745228495,0.71340094375,1.1940069725,"w1","influence_proba"
"19",19,1,0.7853618859675,0.59501846325,0.97748028525,"w1","influence_proba"
"20",20,1,0.86773855659,0.698200729,1.0469302125,"w1","influence_proba"
"21",21,1,0.84661929528,0.6760687115,1.033329045,"w1","influence_proba"
"22",22,1,0.9058864080925,0.7139474625,1.11453485,"w1","influence_proba"
"23",23,1,0.80711954406,0.64791471425,0.9633340255,"w1","influence_proba"
"24",24,1,0.9036077671525,0.73932411075,1.0782636825,"w1","influence_proba"
"25",25,1,0.6666151279525,0.4708553525,0.85642130325,"w1","influence_proba"
"26",26,1,0.8469708520125,0.70440823875,0.9989350555,"w1","influence_proba"
"27",27,1,0.95484644725,0.77416664175,1.1528509875,"w1","influence_proba"
"28",28,1,0.783063973305,0.5695182565,0.99696620125,"w1","influence_proba"
"29",29,1,0.85368397127,0.67148333975,1.0418907175,"w1","influence_proba"
"30",30,1,1.181687238655,0.94613773225,1.45637794,"w1","influence_proba"
"31",31,1,0.92443603263,0.7136742255,1.1541546175,"w1","influence_proba"
