"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"LO_norm",0,0,-4691.99787446786,46.840124943338,95.7539970513707,2.6511733552719,9383.99574893573,93.6802498866759
"Proba",-20.4292745576076,10.372122905036,-4712.42714902546,42.4441079677276,78.6663550424352,1.74212030720861,9424.85429805091,84.8882159354553
"LO",-112.975933229416,10.7248899245931,-4804.97380769728,41.9872695287401,114.718761866723,3.66367007214907,9609.94761539457,83.9745390574803
"loo_const_norm",-368.517289656314,10.6198098197491,-5060.51516412415,42.5220696376656,402.631446101343,13.7932174322274,10121.0303282483,85.0441392753312
