"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"LO_norm",0,0,-371.343985816914,113.289912077864,265.009732530878,6.37053798673002,742.687971633827,226.579824155728
"Proba",-105.330511838517,21.9732022250653,-476.674497655425,112.073424307647,261.856914287512,6.69476702894417,953.348995310851,224.146848615294
"LO",-251.557654799697,25.9236688402159,-622.901640616613,111.113869745823,322.998787662276,9.09081907494672,1245.80328123323,222.227739491646
"loo_const_norm",-643.942389607279,25.3609155314486,-1015.28637542419,108.966658948099,843.434629323568,22.112848073453,2030.57275084838,217.933317896199
