"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"LO_norm",0,0,4322.59488477765,100.67754423255,165.784192211653,5.45297108290725,-8645.1897695553,201.355088465101
"Proba",-85.2272426463829,19.7818653116457,4237.36764213128,101.497290123813,180.401946883226,6.04572603657706,-8474.73528426256,202.994580247626
"LO",-151.717293281285,24.5030003293886,4170.87759149636,100.469915915838,231.695549931635,8.24679462307695,-8341.75518299273,200.939831831676
"loo_const_norm",-218.693000523699,20.037668395193,4103.90188425395,99.0003288238575,357.885807859487,12.8354337123778,-8207.8037685079,198.000657647715
