"","row","parameter","mean","2.5%","97.5%","model"
"1",1,"mu_alpha",1.616340834185,1.1352530125,2.207541745,"influence_proba"
"2",2,"mu_beta",0.23645655219795,0.073054245475,0.40767365675,"influence_proba"
"3",3,"mu_w1",0.668314620865,0.57642715925,0.756496403,"influence_proba"
"4",4,"mu_w2",0.688853343475,0.6081607595,0.764737777,"influence_proba"
"5",5,"mu_w3",0.7211420597325,0.65014852225,0.791759483,"influence_proba"
"6",6,"mu_w4",0.82009603963,0.72491500675,0.91745761925,"influence_proba"
"7",7,"mu_w5",0.88931709481,0.81037305525,0.9696403785,"influence_proba"
"8",8,"mu_a_infl",-0.355722165842,-0.533502473,-0.17548079575,"influence_proba"
"9",9,"mu_b_infl",0.0272493366988486,-0.00097725289275,0.0573587666,"influence_proba"
"10",10,"mu_sigma_infl",0.1557723781825,0.1260159765,0.19330644225,"influence_proba"
