"","mu_w1","mu_w2","mu_w3","mu_w4","mu_w5","mu_alpha","mu_beta","mu_a_infl","mu_b_infl","mu_sigma_infl"
"49",0.6702559,0.64158564,0.71619091,0.77121292,0.92015908,1.7373578,0.34666116,-0.36904275,0.013924065,0.14895084
"50",0.69750022,0.66581891,0.70037436,0.81598139,0.85272471,1.5283411,0.37901726,-0.36452494,0.016572774,0.14170335
"51",0.64033096,0.70349398,0.76100127,0.7703266,0.85673718,1.5982364,0.34015108,-0.35258958,0.012253902,0.13294775
"52",0.74600182,0.71981564,0.72644017,0.8220982,0.91316936,1.3505204,0.3075778,-0.3001011,0.017274316,0.12684898
"53",0.73862607,0.72459807,0.73212423,0.82660743,0.9210503,1.2563899,0.31521034,-0.28640652,0.020588624,0.13607164
"54",0.60463773,0.66346677,0.79178562,0.80829079,0.79589934,1.3329129,0.30510774,-0.29123381,0.017858878,0.13730733
"55",0.68605289,0.68295449,0.75081524,0.80570378,0.8652691,1.6226814,0.31888226,-0.20910499,0.02876757,0.14797407
"56",0.60776034,0.65848271,0.7366458,0.78081607,0.90128749,1.6036829,0.29104854,-0.20076682,0.026073839,0.14361563
"57",0.69288374,0.68597473,0.72935557,0.75323363,0.80172805,1.7842954,0.33261778,-0.27925891,0.024912978,0.12859021
"58",0.6140043,0.65679634,0.74286757,0.89925419,0.82871196,1.8629107,0.26170169,-0.13503453,0.019343659,0.14142049
"59",0.66083523,0.7024062,0.77815448,0.7332362,0.93399716,1.6186283,0.2722809,-0.19990702,0.0212375,0.16451691
"60",0.67591144,0.72490917,0.71075035,0.80619258,0.91845219,1.5641813,0.19321885,-0.20669783,0.024224608,0.16839753
"61",0.62380421,0.55058089,0.71095409,0.80272864,0.81130468,1.7399982,0.25314426,-0.25109277,0.023347036,0.15827904
"62",0.55576341,0.62289963,0.62140724,0.76817482,0.82474257,1.8091712,0.23133755,-0.30647402,0.015769852,0.15040957
"63",0.60826153,0.6757379,0.68380834,0.75931209,0.89158452,1.8627665,0.28805103,-0.31208489,0.010092285,0.13237731
"64",0.6745559,0.65979498,0.68989116,0.77328975,0.92991563,1.6564324,0.19573412,-0.33677455,0.022714405,0.14105952
"65",0.73479909,0.71745138,0.77216478,0.88974488,0.89332656,1.5833265,0.24441526,-0.29343636,0.048782608,0.15824144
"66",0.61811241,0.66217765,0.67520189,0.79715122,0.87310047,1.4628365,0.21338504,-0.2992155,0.046808789,0.1502032
"67",0.64953826,0.75737206,0.78170077,0.79999204,0.91798344,1.7695599,0.20720036,-0.2907381,0.039431926,0.15117643
"68",0.63148818,0.6934224,0.70161272,0.82362261,0.8706663,1.5701199,0.25673169,-0.28860838,0.048206546,0.14869025
"69",0.66968458,0.74041979,0.74160413,0.85333343,0.90818523,1.2143413,0.23242213,-0.37213404,0.050439972,0.14908422
"70",0.73823267,0.70159381,0.72847116,0.83470106,0.92374515,1.1127266,0.33602024,-0.30088786,0.051874818,0.15503391
"71",0.71496201,0.75250045,0.75084363,0.87884061,0.88116407,0.91767927,0.32184585,-0.31645258,0.054935201,0.1533084
"72",0.63261226,0.67250065,0.69472547,0.76613857,0.89486912,1.3792312,0.15216381,-0.26647137,0.048057715,0.16070378
"73",0.71156154,0.69387587,0.73833759,0.82005689,0.83720999,1.3844556,0.24507072,-0.32352532,0.032775232,0.17171306
"74",0.65940622,0.76405927,0.71394806,0.8477927,0.87518234,1.1549589,0.2875422,-0.35750004,0.052802718,0.15071483
"75",0.62470766,0.66186127,0.72044271,0.82764405,0.8279919,1.664102,0.22661663,-0.35892233,0.046684231,0.14811356
"76",0.60177052,0.66790576,0.70395537,0.80642879,0.82440506,1.7195837,0.23129599,-0.37181456,0.04768628,0.14503601
"77",0.72306042,0.68929542,0.69369319,0.83751639,0.90076736,1.4168529,0.14286946,-0.29201547,0.027186235,0.16360404
"78",0.71214404,0.6906097,0.69261409,0.91068872,0.9205716,1.3355567,0.10565605,-0.34234077,0.025690524,0.16208753
"79",0.61447721,0.70758263,0.71424266,0.79240693,0.81484328,1.6177919,0.28529314,-0.32336458,0.021747465,0.17084725
"80",0.73014993,0.69297367,0.7144897,0.82316568,0.91631219,1.6223568,0.22313576,-0.2570651,0.039585223,0.16360926
"81",0.68473345,0.65734434,0.75300909,0.77372308,0.84387039,1.5357801,0.21308489,-0.29394136,0.039843571,0.16626809
"82",0.69207228,0.663228,0.75521573,0.87400303,0.84312478,1.3387918,0.16846838,-0.25427861,0.033467722,0.17000223
"83",0.65414113,0.74040284,0.73415488,0.76279205,0.82033173,1.6907122,0.22276384,-0.21275973,0.033064699,0.17064158
"84",0.69289302,0.76779884,0.6887946,0.8268413,0.86070345,1.5020985,0.20718733,-0.29798325,0.025340113,0.1587819
"85",0.68109999,0.74585977,0.64720923,0.76562624,0.9346545,1.5859094,0.2369417,-0.28242082,0.021588703,0.14951148
"86",0.66092653,0.66416719,0.59427813,0.7847832,0.87205591,1.294729,0.23494815,-0.35917448,0.02999062,0.15262305
"87",0.65281212,0.61557381,0.62628234,0.80471259,0.93657638,1.3094476,0.23714461,-0.34306775,0.029743726,0.15165068
"88",0.69444349,0.68131767,0.7829614,0.84108041,0.80244242,1.6876658,0.32456973,-0.35473038,0.020417636,0.15781592
"89",0.70253091,0.71340185,0.65548539,0.89558089,0.86031581,1.9604492,0.28849359,-0.28662339,0.0099162547,0.16404572
"90",0.73406169,0.68285898,0.85854963,0.87105929,0.87625311,1.8100192,0.25170713,-0.34167437,0.027122647,0.17631258
"91",0.70263723,0.72559077,0.68472887,0.83928899,0.96476833,1.9400487,0.23299245,-0.36069087,0.021410839,0.1794466
"92",0.66508969,0.70405807,0.75792117,0.84619868,0.92201019,1.7442242,0.15713389,-0.38463721,0.016753359,0.16945686
"93",0.58540137,0.70506386,0.73008217,0.80732397,0.85231533,2.1050287,0.20178485,-0.34127693,0.0043403145,0.18043442
"94",0.7112508,0.72959912,0.70611189,0.80323569,0.96966528,1.7942132,0.14173804,-0.3606606,0.0080969456,0.17030319
"95",0.7183601,0.70797722,0.72558371,0.82440544,0.81960538,1.896791,0.18317629,-0.23079482,0.029347589,0.1630402
"96",0.6820673,0.73749905,0.75283369,0.79758698,0.91400638,1.7620207,0.25193556,-0.24215756,0.03803142,0.16564961
"97",0.69897653,0.73482009,0.74673542,0.79599105,0.92778507,1.7478422,0.25074891,-0.25168632,0.038206737,0.1661745
"98",0.69405362,0.64274839,0.73270727,0.79319828,0.90314697,1.6797852,0.32336452,-0.3129944,0.035942707,0.18150798
"99",0.62063266,0.7055769,0.70800992,0.8041937,0.9175762,1.9820425,0.2795391,-0.28774112,0.038693274,0.17919394
"100",0.56436461,0.67745838,0.7328511,0.80179441,0.84810646,1.7350666,0.20136074,-0.46307334,0.029899386,0.18298044
"101",0.67701194,0.69107504,0.7242202,0.71477468,0.85013192,2.0773035,0.24125614,-0.48344791,0.026633981,0.1744394
"102",0.75055464,0.72472293,0.72055581,0.7793882,0.91550603,1.9592374,0.22144433,-0.55606265,0.027967869,0.16416305
"103",0.67769133,0.70893345,0.75197782,0.85803549,0.93220327,1.8750495,0.19558897,-0.57981795,0.023592886,0.1675223
"104",0.65916304,0.69214268,0.74241587,0.86799086,0.88222415,1.820949,0.29693633,-0.60807907,0.013506552,0.16960665
"105",0.68747404,0.70307437,0.70514747,0.81697023,0.89080785,1.6748178,0.28026836,-0.59480185,0.011984145,0.1827792
"106",0.72086679,0.72168836,0.74650867,0.8634963,0.84531139,1.7835938,0.25090422,-0.5783488,0.013373748,0.17326731
"107",0.59354434,0.68170087,0.71238346,0.79464784,0.90214223,1.6710892,0.21925163,-0.59035955,0.017639752,0.17718914
"108",0.71080176,0.78698436,0.7345024,0.86121921,0.90286806,1.2835553,0.14316296,-0.51260713,0.032330906,0.18079998
"109",0.68699132,0.71166984,0.73257545,0.88698058,0.87757297,1.5537255,0.11103576,-0.51013265,0.022755212,0.18548222
"110",0.66248061,0.71355048,0.72738809,0.87698824,0.89383002,1.7166404,0.15079528,-0.50836129,0.021796427,0.18352463
"111",0.65971854,0.69249735,0.71611821,0.8552692,0.88272964,1.9443625,0.077692423,-0.4401606,0.024243817,0.18077264
"112",0.71224567,0.67081457,0.76306649,0.8972251,0.93593333,1.6555467,0.1469662,-0.39434258,0.02042099,0.17859292
"113",0.62144894,0.68931336,0.71532307,0.8298382,0.82654881,2.2591844,0.25126542,-0.45444819,0.027460498,0.17794041
"114",0.60091257,0.71547569,0.69487136,0.88223745,0.91376336,2.132234,0.1366894,-0.41718285,0.021848987,0.17435172
"115",0.61991068,0.67020851,0.73383352,0.73887252,0.84546688,1.8125716,0.21589561,-0.38968442,0.023639744,0.14823778
"116",0.72677603,0.65681627,0.70065669,0.89054883,0.92726438,1.2689189,0.28856336,-0.43171973,0.022792403,0.16300231
"117",0.64457427,0.70873142,0.724353,0.75304463,0.84110111,1.2922286,0.22738492,-0.33724904,0.03287525,0.17514938
"118",0.70380391,0.66472727,0.71005539,0.86519125,0.91373114,1.1666565,0.21519746,-0.42451559,0.036982974,0.18484878
"119",0.70792729,0.68738224,0.8070277,0.72928857,0.85560944,1.2129169,0.35439519,-0.46279235,0.032679606,0.18124298
"120",0.68980636,0.75313788,0.72162785,0.90609452,0.94192512,1.245238,0.28119519,-0.42066136,0.0326302,0.18290256
"121",0.67668712,0.69142956,0.70867134,0.79541051,0.86385293,1.418636,0.23132681,-0.50614629,0.034871256,0.19481836
"122",0.62492336,0.71113489,0.76093881,0.75945421,0.93821208,1.4552594,0.26573991,-0.42364529,0.048986005,0.19365128
"123",0.65289523,0.69949013,0.72770962,0.78655336,0.88497038,1.6964153,0.27913596,-0.43997214,0.038995332,0.18794375
"124",0.69403356,0.66548259,0.67864279,0.83402643,0.87007217,1.7659086,0.22123576,-0.36346839,0.039894263,0.17474949
"125",0.60523856,0.71125369,0.73451124,0.78852143,0.82416358,1.7566803,0.20453131,-0.3120887,0.044478642,0.17389554
"126",0.59437693,0.69120048,0.76936573,0.82179978,0.83934863,1.7146244,0.19042597,-0.31994708,0.043462279,0.17522341
"127",0.68703525,0.71583791,0.71240196,0.84073862,0.91155422,1.6267677,0.15994568,-0.29885979,0.032064359,0.15645508
"128",0.65839998,0.70774657,0.76318346,0.80337701,0.91123244,1.5678266,0.11816006,-0.29691932,0.012346071,0.14225142
"129",0.66586997,0.66436374,0.64647704,0.76829316,0.87723732,1.724603,0.16461607,-0.33985277,0.015832299,0.15490466
"130",0.67831033,0.73887372,0.75786831,0.86178096,0.90912263,1.5305484,0.1557452,-0.32043872,0.022046751,0.16237682
"131",0.71358415,0.67493433,0.70595756,0.78237052,0.89038367,1.854201,0.17729014,-0.33763032,0.018683719,0.16369383
"132",0.70383041,0.70188366,0.70802223,0.87435827,0.94979558,1.8469449,0.16790037,-0.3757849,0.021536463,0.16280097
"133",0.66161976,0.69253667,0.68120452,0.85051278,0.8692341,1.9045455,0.18852928,-0.30689289,0.035156807,0.17116608
"134",0.7033167,0.69784474,0.77685169,0.81891297,0.91326814,1.5674987,0.1601241,-0.3339317,0.011563026,0.18456233
"135",0.69661428,0.6979685,0.78348039,0.81683402,0.91176866,1.6000041,0.17502668,-0.33605964,0.011743161,0.18037599
"136",0.64794434,0.67608659,0.68313183,0.86323085,0.94808369,1.4680577,0.20951466,-0.38754242,0.014854155,0.15603351
"137",0.66260423,0.7170651,0.68546281,0.88835943,0.94622424,1.5843853,0.25798238,-0.38865456,0.014244337,0.15820129
"138",0.6447651,0.73237173,0.71980922,0.78028096,0.86220757,1.4875758,0.28619301,-0.34799479,0.024989609,0.16473716
"139",0.66694438,0.73826923,0.66045176,0.78979455,0.88628298,1.6703327,0.34822101,-0.3968701,0.044113159,0.16321453
"140",0.60753943,0.69091359,0.70217563,0.75933575,0.89901785,1.5801178,0.30132697,-0.40507322,0.029877643,0.16579573
"141",0.72510202,0.69736255,0.76730732,0.95232219,0.9233653,1.3084208,0.25065636,-0.40517369,0.030786884,0.16347162
"142",0.70640183,0.64893707,0.70768592,0.81595657,0.93907588,1.3175112,0.24379834,-0.40916106,0.021306283,0.19114184
"143",0.62055991,0.683472,0.72908212,0.89380242,0.87782316,1.004837,0.21163652,-0.5007197,0.028004569,0.19120886
"144",0.68697957,0.69073982,0.70058072,0.7595992,0.89786579,1.6280855,0.29934807,-0.41452695,0.038860756,0.16389862
"145",0.69089333,0.70566222,0.70149438,0.83173483,0.89699112,1.6122333,0.33665507,-0.37147595,0.043398103,0.16875941
"146",0.67856211,0.56699108,0.74069493,0.80382721,0.89613739,1.5967006,0.31088945,-0.43997182,0.032711668,0.17097885
"147",0.6559768,0.66558651,0.75250131,0.77458699,0.84891934,1.7081848,0.38209342,-0.39954634,0.037322943,0.16668656
"148",0.68652167,0.65992634,0.69858893,0.86185062,0.91208812,1.3169481,0.37510449,-0.3754403,0.034990877,0.16586619
"149",0.61696379,0.67588881,0.71042298,0.84265142,0.81194427,1.6713264,0.3633857,-0.32025199,0.017204652,0.17225167
"150",0.58964221,0.73404439,0.73139108,0.85103134,0.85502165,1.8106841,0.33974051,-0.27095237,0.012345255,0.1727173
"151",0.60839826,0.73098398,0.73669923,0.85111996,0.84648895,1.7593022,0.30149433,-0.31778527,0.014096069,0.17722297
