"","subj","k","mean","2.5%","97.5%","parameter","model"
"195",3,7,0.121297360953823,0.00533247761,0.2559160675,"beta","influence_proba"
"196",4,7,0.14254133557009,-0.040854710325,0.442609845,"beta","influence_proba"
"197",5,7,-0.0509024266111072,-0.193874745,0.0946173633500001,"beta","influence_proba"
"198",6,7,0.0499593265300781,-0.052623095675,0.1867693945,"beta","influence_proba"
"199",7,7,0.592849658255,0.40125865925,0.80955519075,"beta","influence_proba"
"200",8,7,-0.0545985694041018,-0.18463529875,0.091398784675,"beta","influence_proba"
"201",9,7,-0.083527675797961,-0.210315498,0.039284035175,"beta","influence_proba"
"202",10,7,-0.14004021072118,-0.30895008525,0.0213853897,"beta","influence_proba"
"203",11,7,-0.44103745853875,-0.7696949075,-0.17961442475,"beta","influence_proba"
"204",12,7,1.340140868965,1.0051429425,1.724700675,"beta","influence_proba"
"205",13,7,-0.0604561703538907,-0.17220476425,0.060400445275,"beta","influence_proba"
"206",14,7,0.012028489149998,-0.1396960305,0.1807934915,"beta","influence_proba"
"207",15,7,0.2519208946615,0.068479904425,0.47315319425,"beta","influence_proba"
"208",16,7,0.277869482801925,0.0654265027,0.52681193525,"beta","influence_proba"
"209",17,7,0.349842200570813,0.0540337469,0.765970466,"beta","influence_proba"
"210",18,7,-0.0385941148905805,-0.18141268275,0.12543525225,"beta","influence_proba"
"211",19,7,0.58025543349,0.355140577,0.8222110535,"beta","influence_proba"
"212",20,7,-0.18708995424135,-0.28772787175,-0.085101096025,"beta","influence_proba"
"213",21,7,0.16554320497699,0.011503385025,0.321569546,"beta","influence_proba"
"214",22,7,0.367243813309,0.13945054175,0.6230079835,"beta","influence_proba"
"215",23,7,0.125074907319042,-0.02890735255,0.333664311,"beta","influence_proba"
"216",24,7,0.3992364089775,0.22101059025,0.5890006115,"beta","influence_proba"
"217",25,7,0.727067905235,0.5042130795,0.981666,"beta","influence_proba"
"218",26,7,0.27307336044565,0.14225110175,0.4230386895,"beta","influence_proba"
"219",27,7,1.5662627903675,1.19313744,1.9934076,"beta","influence_proba"
"220",28,7,-0.0179148116915154,-0.094122806575,0.060997652875,"beta","influence_proba"
"221",29,7,-0.070985272915142,-0.2526562145,0.13475697725,"beta","influence_proba"
"222",30,7,-0.0259605555458538,-0.11914160025,0.067744808975,"beta","influence_proba"
"223",31,7,-0.161607684399187,-0.25082599225,0.00834343451500013,"beta","influence_proba"
"224",32,7,1.1797694231475,0.82750115825,1.6317065125,"beta","influence_proba"
"1",1,1,0.733215662335,0.450856598,1.077565905,"w1","influence_proba"
"2",2,1,0.793413626465,0.6520218765,0.9474209935,"w1","influence_proba"
"3",3,1,0.460798321135,0.24965969075,0.6929817095,"w1","influence_proba"
"4",4,1,0.6833614523675,0.487475886,0.892970671,"w1","influence_proba"
"5",5,1,0.549130372005,0.3253720055,0.76667300425,"w1","influence_proba"
"6",6,1,0.7060355586255,0.4067081275,1.0672675225,"w1","influence_proba"
"7",7,1,0.6486171905675,0.38522416025,0.91874408175,"w1","influence_proba"
"8",8,1,0.70969424128,0.4873590835,0.968298695,"w1","influence_proba"
"9",9,1,0.742951360095,0.59180241925,0.92240645375,"w1","influence_proba"
"10",10,1,0.6451946433,0.3673726545,0.926206722,"w1","influence_proba"
"11",11,1,0.8546601377175,0.637098514,1.1231628125,"w1","influence_proba"
"12",12,1,0.7369717141825,0.54117795725,0.96033521925,"w1","influence_proba"
"13",13,1,0.6952239719225,0.38946352175,1.0312718075,"w1","influence_proba"
"14",14,1,0.7649351604275,0.5670165535,0.9831786775,"w1","influence_proba"
"15",15,1,0.7608431558,0.5359795835,1.0356011225,"w1","influence_proba"
"16",16,1,0.5773974724125,0.3854316485,0.76840879,"w1","influence_proba"
"17",17,1,0.715583365145,0.485605186,0.9803863515,"w1","influence_proba"
"18",18,1,0.684241215625,0.3736975175,1.0380733925,"w1","influence_proba"
"19",19,1,0.624609475365,0.3884768475,0.86487876975,"w1","influence_proba"
"20",20,1,0.6599872309025,0.4021225585,0.93321369525,"w1","influence_proba"
"21",21,1,0.746686879635,0.577430455,0.94316018425,"w1","influence_proba"
"22",22,1,0.583194760055,0.38350861875,0.776106424,"w1","influence_proba"
"23",23,1,0.653547833415,0.4576778245,0.85408650375,"w1","influence_proba"
"24",24,1,0.5981362174075,0.3220226485,0.8535426505,"w1","influence_proba"
"25",25,1,0.5495305462625,0.288042177,0.78446562025,"w1","influence_proba"
"26",26,1,0.739985232575,0.44588285925,1.10292942,"w1","influence_proba"
"27",27,1,0.67060370133,0.45542040425,0.87915286875,"w1","influence_proba"
"28",28,1,0.7301392828125,0.5733630925,0.90860687475,"w1","influence_proba"
"29",29,1,0.6737840541175,0.49080438475,0.87612888425,"w1","influence_proba"
"30",30,1,0.7706448659325,0.61880912225,0.94807188,"w1","influence_proba"
"31",31,1,0.600547261152,0.3505451915,0.83897734275,"w1","influence_proba"
"32",32,1,0.5328826486625,0.287728849,0.77108461325,"w1","influence_proba"
"33",1,2,0.72499687209,0.50586296475,0.999723857,"w2","influence_proba"
"34",2,2,0.8220709065275,0.6758318045,1.0071550425,"w2","influence_proba"
"35",3,2,0.7248633431175,0.5636291675,0.9125618625,"w2","influence_proba"
"36",4,2,0.6776295352525,0.50400910875,0.84507153225,"w2","influence_proba"
"37",5,2,0.7405742864725,0.5586674385,0.96255086225,"w2","influence_proba"
"38",6,2,0.71386774449,0.4775860185,0.98963661075,"w2","influence_proba"
"39",7,2,0.60045913224725,0.34204615925,0.800334913,"w2","influence_proba"
"40",8,2,0.7030565431375,0.50428070175,0.911260446,"w2","influence_proba"
"41",9,2,0.7627944105125,0.6251998085,0.92569936625,"w2","influence_proba"
"42",10,2,0.73439553835,0.5277951925,0.99664657425,"w2","influence_proba"
"43",11,2,0.6877824536675,0.5101255615,0.86575401425,"w2","influence_proba"
"44",12,2,0.6819304091025,0.50335651875,0.8648240745,"w2","influence_proba"
"45",13,2,0.693890155595,0.4498798775,0.9528802745,"w2","influence_proba"
"46",14,2,0.8093251713425,0.63564002025,1.05665418,"w2","influence_proba"
"47",15,2,0.65045626985,0.4286064695,0.84623075975,"w2","influence_proba"
"48",16,2,0.672558685605,0.512116985,0.83505233975,"w2","influence_proba"
"49",17,2,0.60750834313,0.3732352165,0.795998011,"w2","influence_proba"
"50",18,2,0.691890353595,0.44040448825,0.951374782,"w2","influence_proba"
"51",19,2,0.6644081434475,0.44720307125,0.86127104725,"w2","influence_proba"
"52",20,2,0.6371679852775,0.394031961,0.84328197725,"w2","influence_proba"
"53",21,2,0.68004582926,0.52019300425,0.8294262475,"w2","influence_proba"
"54",22,2,0.733386333795,0.5630956765,0.935286231,"w2","influence_proba"
"55",23,2,0.749869410895,0.57794735975,0.96514108875,"w2","influence_proba"
"56",24,2,0.657706209195,0.42535817525,0.87188613625,"w2","influence_proba"
"57",25,2,0.58544895800825,0.31186673325,0.78469549275,"w2","influence_proba"
"58",26,2,0.745531715965,0.53081820575,1.0488375925,"w2","influence_proba"
"59",27,2,0.709478701315,0.53156204675,0.90408704925,"w2","influence_proba"
"60",28,2,0.675974226225,0.53370663325,0.8263522935,"w2","influence_proba"
"61",29,2,0.663295343345,0.4786033585,0.83390798675,"w2","influence_proba"
"62",30,2,0.625937660225,0.4732016965,0.7629090425,"w2","influence_proba"
"63",31,2,0.68912430709,0.48661012175,0.886434523,"w2","influence_proba"
"64",32,2,0.63569504314,0.4127002095,0.83060767925,"w2","influence_proba"
"65",1,3,0.7084495624525,0.4992799985,0.88421023675,"w3","influence_proba"
"66",2,3,0.7805493568,0.66677335825,0.94389514675,"w3","influence_proba"
"67",3,3,0.6987844327375,0.535011401,0.8272280005,"w3","influence_proba"
"68",4,3,0.71851838438,0.57356849,0.85820723225,"w3","influence_proba"
"69",5,3,0.72602326075,0.5698251745,0.89180575125,"w3","influence_proba"
"70",6,3,0.7137820171075,0.512712283,0.895734982,"w3","influence_proba"
"71",7,3,0.75327121689,0.59764205225,0.9731006465,"w3","influence_proba"
"72",8,3,0.7425581906725,0.59704944325,0.92469189325,"w3","influence_proba"
"73",9,3,0.72791633698,0.595994872,0.85683864075,"w3","influence_proba"
"74",10,3,0.73698269398,0.57501776925,0.929178559,"w3","influence_proba"
"75",11,3,0.7072660849925,0.540356589,0.8510318975,"w3","influence_proba"
"76",12,3,0.754463428455,0.621379209,0.92376983425,"w3","influence_proba"
"77",13,3,0.72710580986,0.5418946025,0.9339324065,"w3","influence_proba"
"78",14,3,0.736336554945,0.6058830045,0.89148132775,"w3","influence_proba"
"79",15,3,0.75037385344,0.607337248,0.94531731775,"w3","influence_proba"
"80",16,3,0.7231172385875,0.58860973175,0.85952334525,"w3","influence_proba"
"81",17,3,0.697001056055,0.5057058145,0.843207821,"w3","influence_proba"
"82",18,3,0.7181431656725,0.5276622565,0.9109963735,"w3","influence_proba"
"83",19,3,0.704143311745,0.520845567,0.84919958875,"w3","influence_proba"
"84",20,3,0.7049609844325,0.511745662,0.872728288,"w3","influence_proba"
"85",21,3,0.6785968300375,0.51691759325,0.80254092125,"w3","influence_proba"
"86",22,3,0.7519635012575,0.6258330845,0.930630258,"w3","influence_proba"
"87",23,3,0.7032003330025,0.53934926575,0.8429117815,"w3","influence_proba"
"88",24,3,0.734330820545,0.570463633,0.92579179025,"w3","influence_proba"
"89",25,3,0.67907455105,0.458533471,0.8276890755,"w3","influence_proba"
"90",26,3,0.69577252624,0.4863254605,0.8599056775,"w3","influence_proba"
"91",27,3,0.7276408569175,0.58683682125,0.880414709,"w3","influence_proba"
"92",28,3,0.7429339985225,0.63151039575,0.87440267625,"w3","influence_proba"
"93",29,3,0.7966945132825,0.66365723275,1.021039375,"w3","influence_proba"
"94",30,3,0.6864181382575,0.5448451425,0.79900940975,"w3","influence_proba"
"95",31,3,0.722653398085,0.552138487,0.89096401175,"w3","influence_proba"
"96",32,3,0.666508726125,0.45113042375,0.8066463425,"w3","influence_proba"
"97",1,4,0.9093106545625,0.6030658055,1.2971673025,"w4","influence_proba"
"98",2,4,0.7787286851125,0.62896984825,0.93171847425,"w4","influence_proba"
"99",3,4,0.866050417725,0.67583689475,1.0860909725,"w4","influence_proba"
"100",4,4,1.004508391415,0.7887210255,1.2646352975,"w4","influence_proba"
"101",5,4,0.7435242593075,0.499509862,0.97458999575,"w4","influence_proba"
"102",6,4,0.7878606224025,0.44591330525,1.11753218,"w4","influence_proba"
"103",7,4,0.97812664854,0.71728184675,1.326826055,"w4","influence_proba"
"104",8,4,0.67967412322,0.41101761075,0.91692709575,"w4","influence_proba"
"105",9,4,0.9128172830925,0.75162386025,1.105617575,"w4","influence_proba"
"106",10,4,0.9028825050725,0.6355803515,1.22204671,"w4","influence_proba"
"107",11,4,0.6954172844125,0.459087825,0.90243867125,"w4","influence_proba"
"108",12,4,0.9029528730125,0.69595107475,1.14348576,"w4","influence_proba"
"109",13,4,0.739324226805,0.3975253545,1.044565295,"w4","influence_proba"
"110",14,4,0.823012626895,0.5993384205,1.054884595,"w4","influence_proba"
"111",15,4,0.8799340266675,0.632639545,1.1575754775,"w4","influence_proba"
"112",16,4,0.7521940705725,0.54628027625,0.9568089395,"w4","influence_proba"
"113",17,4,0.8902236704825,0.62700187725,1.1896764525,"w4","influence_proba"
"114",18,4,0.7898041490225,0.4472564875,1.1446666,"w4","influence_proba"
"115",19,4,0.87215049939,0.6257591715,1.1388994625,"w4","influence_proba"
"116",20,4,0.7648637031025,0.4677116845,1.0521856725,"w4","influence_proba"
"117",21,4,0.68263390937,0.49527299125,0.86760911275,"w4","influence_proba"
"118",22,4,0.8059512060725,0.5940731615,1.037136235,"w4","influence_proba"
"119",23,4,0.8838518869175,0.67456733075,1.129603085,"w4","influence_proba"
"120",24,4,0.893280899615,0.62387004275,1.219760025,"w4","influence_proba"
"121",25,4,0.8087409790375,0.531933833,1.093270455,"w4","influence_proba"
"122",26,4,0.78789067543475,0.470674767,1.1144778525,"w4","influence_proba"
"123",27,4,0.8006493603975,0.567578156,1.0420770675,"w4","influence_proba"
"124",28,4,0.8640172564675,0.6981097405,1.047479725,"w4","influence_proba"
"125",29,4,0.877681407355,0.66703909475,1.1250447225,"w4","influence_proba"
"126",30,4,0.8358431593375,0.68877103025,0.9952507005,"w4","influence_proba"
"127",31,4,0.875041703965,0.629227678,1.1689685775,"w4","influence_proba"
"128",32,4,0.54759626613,0.25485664075,0.84256352425,"w4","influence_proba"
"129",1,5,0.869180329315,0.63043149475,1.07108684,"w5","influence_proba"
"130",2,5,0.925156151715,0.80188556725,1.076707595,"w5","influence_proba"
"131",3,5,0.854587021395,0.6672686355,1.0011298225,"w5","influence_proba"
"132",4,5,0.906358497325,0.7399240415,1.0996016,"w5","influence_proba"
"133",5,5,0.90964442509,0.73802907775,1.10986244,"w5","influence_proba"
"134",6,5,0.891916157215,0.6496792425,1.12069483,"w5","influence_proba"
"135",7,5,0.921567604685,0.729904525,1.1643471275,"w5","influence_proba"
"136",8,5,0.880062775515,0.6872324725,1.057822015,"w5","influence_proba"
"137",9,5,0.9148321419675,0.78868194775,1.0705654,"w5","influence_proba"
"138",10,5,0.8597219327975,0.6237425105,1.043033715,"w5","influence_proba"
"139",11,5,0.80381613069,0.5659336155,0.9678677025,"w5","influence_proba"
"140",12,5,0.8153103640475,0.59805847375,0.97436972725,"w5","influence_proba"
"141",13,5,0.9012117843075,0.679193401,1.15139722,"w5","influence_proba"
"142",14,5,0.906411175785,0.7444869725,1.085788395,"w5","influence_proba"
"143",15,5,0.860619566565,0.65055519975,1.0297727125,"w5","influence_proba"
"144",16,5,0.863822792845,0.68603722025,1.013789215,"w5","influence_proba"
"145",17,5,0.9376756587675,0.77328872675,1.16900856,"w5","influence_proba"
"146",18,5,0.887787405265,0.65767675575,1.1143004875,"w5","influence_proba"
"147",19,5,0.92933546365,0.7508385315,1.1556549875,"w5","influence_proba"
"148",20,5,0.899003151875,0.70552950875,1.108631465,"w5","influence_proba"
"149",21,5,0.94700886101,0.809955489,1.13160675,"w5","influence_proba"
"150",22,5,0.8744244302875,0.7020128405,1.0343513225,"w5","influence_proba"
"151",23,5,0.87144366484,0.69382377125,1.036855945,"w5","influence_proba"
"152",24,5,0.91512442983,0.72355516225,1.1430608875,"w5","influence_proba"
"153",25,5,0.948047344295,0.77359165325,1.201105125,"w5","influence_proba"
"154",26,5,0.884224715605,0.66331111725,1.100226305,"w5","influence_proba"
"155",27,5,0.920352715185,0.75822295525,1.117279315,"w5","influence_proba"
"156",28,5,0.9566882387775,0.82961094675,1.1264293675,"w5","influence_proba"
"157",29,5,0.868874712405,0.6818093945,1.03315467,"w5","influence_proba"
"158",30,5,0.88805099931,0.75429484925,1.0196661025,"w5","influence_proba"
"159",31,5,0.8694846139525,0.66560043175,1.043863685,"w5","influence_proba"
"160",32,5,0.788982479625,0.50227440375,0.96817606575,"w5","influence_proba"
"225",1,8,-0.019009102012995,-0.17586444475,0.13177913225,"a_inf","influence_proba"
"226",2,8,-0.8373023142375,-0.95315240225,-0.72435273675,"a_inf","influence_proba"
"227",3,8,-0.7746852517875,-0.949891395,-0.62998656375,"a_inf","influence_proba"
"228",4,8,-0.4160420604525,-0.56017161875,-0.26863332175,"a_inf","influence_proba"
"229",5,8,-0.561161994535,-0.7350014965,-0.40849318625,"a_inf","influence_proba"
"230",6,8,-0.24992636787025,-0.75403687575,0.0543531360750001,"a_inf","influence_proba"
"231",7,8,0.1816267382165,0.08562848865,0.29394282375,"a_inf","influence_proba"
"232",8,8,-0.59985873954,-0.8112247365,-0.42337730675,"a_inf","influence_proba"
"233",9,8,-0.92071417703,-1.0822013625,-0.768741167,"a_inf","influence_proba"
"234",10,8,-0.15492584250332,-0.3130100435,-0.014654961375,"a_inf","influence_proba"
"235",11,8,-0.26455955330425,-0.38389018125,-0.15563841175,"a_inf","influence_proba"
"236",12,8,0.0432697604600764,-0.072695764575,0.15798877325,"a_inf","influence_proba"
"237",13,8,-0.303326819766592,-0.707999949,-0.0477751745999999,"a_inf","influence_proba"
"238",14,8,-0.5446814624625,-0.67784924075,-0.418819721,"a_inf","influence_proba"
"239",15,8,-0.6249506941325,-0.8822436595,-0.39241306675,"a_inf","influence_proba"
"240",16,8,-0.628256044455,-0.80699166925,-0.462921821,"a_inf","influence_proba"
"241",17,8,-0.389543367481025,-0.66322636725,-0.0862987769249999,"a_inf","influence_proba"
"242",18,8,-0.0957624762047775,-0.75795978775,0.5469723785,"a_inf","influence_proba"
"243",19,8,-0.23691048518155,-0.40387823975,-0.0733965213999999,"a_inf","influence_proba"
"244",20,8,-1.4785772425225,-2.0880355125,-0.96319255375,"a_inf","influence_proba"
"245",21,8,0.6003513445375,0.4865903375,0.72436884925,"a_inf","influence_proba"
"246",22,8,-0.27869547569,-0.359647442,-0.20016884775,"a_inf","influence_proba"
"247",23,8,-0.83866376544,-1.07272696,-0.62699673525,"a_inf","influence_proba"
"248",24,8,0.205822853821425,0.078013813875,0.35011148625,"a_inf","influence_proba"
"249",25,8,0.39348613851275,0.1729675185,0.640312492,"a_inf","influence_proba"
"250",26,8,0.2533259278256,0.058365422875,0.521058415,"a_inf","influence_proba"
"251",27,8,0.146848879731748,-0.05787345035,0.3663814365,"a_inf","influence_proba"
"252",28,8,-0.820037299825,-0.9496078905,-0.698351666,"a_inf","influence_proba"
"253",29,8,-0.5230778525175,-0.67099063125,-0.38739743575,"a_inf","influence_proba"
"254",30,8,-0.5693254506325,-0.66455014925,-0.4805006555,"a_inf","influence_proba"
"255",31,8,-1.21844606978275,-1.9245001325,-0.5305179195,"a_inf","influence_proba"
"256",32,8,3.0308296229825e-05,-0.0089303361575,0.0083367188,"a_inf","influence_proba"
"257",1,9,0.1317150109275,0.11821014375,0.14540139825,"b_inf","influence_proba"
"258",2,9,-0.05409811991525,-0.070905646675,-0.0378040035,"b_inf","influence_proba"
"259",3,9,-0.06201804616725,-0.08060277025,-0.04335930735,"b_inf","influence_proba"
"260",4,9,-0.00456055915712065,-0.017782924375,0.00860673499750001,"b_inf","influence_proba"
"261",5,9,0.0166349800605137,-0.0034530235425,0.037090220275,"b_inf","influence_proba"
"262",6,9,0.0314052760125,0.0230272164,0.0398765616,"b_inf","influence_proba"
"263",7,9,0.05315563963225,0.04009396655,0.06573537035,"b_inf","influence_proba"
"264",8,9,-0.0705926023225,-0.0899733234,-0.050665523725,"b_inf","influence_proba"
"265",9,9,-0.06741234905,-0.09517887305,-0.03996536775,"b_inf","influence_proba"
"266",10,9,-0.1280830666765,-0.1491332695,-0.10775568475,"b_inf","influence_proba"
"267",11,9,-0.1087683734725,-0.12637338325,-0.09169059575,"b_inf","influence_proba"
"268",12,9,0.12897186989775,0.102682881,0.1561010405,"b_inf","influence_proba"
"269",13,9,0.00155887839977495,-0.0093878810025,0.0122664638,"b_inf","influence_proba"
"270",14,9,-0.083218664852,-0.10613295,-0.06020986985,"b_inf","influence_proba"
"271",15,9,0.1359678404245,0.10406850075,0.167268395,"b_inf","influence_proba"
"272",16,9,0.08199149047025,0.049040830025,0.11382258825,"b_inf","influence_proba"
"273",17,9,0.0280830641609722,0.000531813940000002,0.05392213675,"b_inf","influence_proba"
"274",18,9,0.10637006341175,0.07623361375,0.13676769325,"b_inf","influence_proba"
"275",19,9,0.087548655883,0.0560725596,0.118977076,"b_inf","influence_proba"
"276",20,9,-0.00299362501655857,-0.042554922225,0.036081091075,"b_inf","influence_proba"
"277",21,9,0.04869486513275,0.025464776,0.072677948675,"b_inf","influence_proba"
"278",22,9,0.0129684143948586,-0.00331657674,0.029229573625,"b_inf","influence_proba"
"279",23,9,0.0622883317685,0.036985757525,0.087496643775,"b_inf","influence_proba"
"280",24,9,0.12023871415975,0.1025949665,0.13747009425,"b_inf","influence_proba"
"281",25,9,0.182726360025,0.15097441525,0.2135612635,"b_inf","influence_proba"
"282",26,9,0.09463013725575,0.080707918625,0.1084418115,"b_inf","influence_proba"
"283",27,9,0.0224185770247833,-0.013615129,0.058952226025,"b_inf","influence_proba"
"284",28,9,0.02142869625647,0.005158250175,0.03729622945,"b_inf","influence_proba"
"285",29,9,0.00383644519759952,-0.020118014975,0.028311393025,"b_inf","influence_proba"
"286",30,9,-0.06889775245625,-0.0814231821,-0.056257955575,"b_inf","influence_proba"
"287",31,9,0.0694249478705,0.049924663225,0.0892729746,"b_inf","influence_proba"
"288",32,9,0.0348231368785,0.03333472595,0.03630475085,"b_inf","influence_proba"
"289",1,10,0.1146871790425,0.10603097,0.124625793,"sigma_inf","influence_proba"
"290",2,10,0.1289007753,0.118454756,0.140159037,"sigma_inf","influence_proba"
"291",3,10,0.1451049816075,0.1331066165,0.15837136325,"sigma_inf","influence_proba"
"292",4,10,0.10239486817075,0.09323716235,0.1133991875,"sigma_inf","influence_proba"
"293",5,10,0.1648299820275,0.15202046625,0.178769621,"sigma_inf","influence_proba"
"294",6,10,0.071041809542,0.065473899925,0.0768544766,"sigma_inf","influence_proba"
"295",7,10,0.103416488547,0.09510110995,0.112828305,"sigma_inf","influence_proba"
"296",8,10,0.164954680115,0.15249869775,0.179035206,"sigma_inf","influence_proba"
"297",9,10,0.2233177923775,0.2059131485,0.24241339225,"sigma_inf","influence_proba"
"298",10,10,0.1768470649825,0.162976684,0.19236659075,"sigma_inf","influence_proba"
"299",11,10,0.12485925316,0.1147726285,0.13622926625,"sigma_inf","influence_proba"
"300",12,10,0.215714402015,0.198514415,0.23444127425,"sigma_inf","influence_proba"
"301",13,10,0.09185159435525,0.084893996125,0.099409619525,"sigma_inf","influence_proba"
"302",14,10,0.1776102582025,0.16316197975,0.19464867975,"sigma_inf","influence_proba"
"303",15,10,0.2630786268925,0.2423185215,0.286067496,"sigma_inf","influence_proba"
"304",16,10,0.249161995975,0.229329763,0.270697879,"sigma_inf","influence_proba"
"305",17,10,0.208764351175,0.18899257775,0.2294361955,"sigma_inf","influence_proba"
"306",18,10,0.2590234743825,0.239076284,0.280668759,"sigma_inf","influence_proba"
"307",19,10,0.2547779331,0.2348452695,0.2762300275,"sigma_inf","influence_proba"
"308",20,10,0.34704954694,0.31955922375,0.37705516575,"sigma_inf","influence_proba"
"309",21,10,0.1726771902075,0.15890957575,0.18750446725,"sigma_inf","influence_proba"
"310",22,10,0.12091853952,0.1114841285,0.1315781505,"sigma_inf","influence_proba"
"311",23,10,0.2066967819525,0.1887372145,0.2257944115,"sigma_inf","influence_proba"
"312",24,10,0.1460351652625,0.1347959685,0.1582615075,"sigma_inf","influence_proba"
"313",25,10,0.258496140395,0.23802855175,0.281229365,"sigma_inf","influence_proba"
"314",26,10,0.11972982066,0.1103689055,0.13011970725,"sigma_inf","influence_proba"
"315",27,10,0.2842196192225,0.2619595075,0.3083115295,"sigma_inf","influence_proba"
"316",28,10,0.1227323882675,0.11243405475,0.134178007,"sigma_inf","influence_proba"
"317",29,10,0.1898785432175,0.17447104,0.207356259,"sigma_inf","influence_proba"
"318",30,10,0.094194712158,0.08617456775,0.10290738,"sigma_inf","influence_proba"
"319",31,10,0.16317793742,0.148400186,0.18201566225,"sigma_inf","influence_proba"
"320",32,10,0.0122132915915,0.01127973345,0.01327400405,"sigma_inf","influence_proba"
