"","subj","k","mean","2.5%","97.5%","parameter","model"
"161",1,6,0.516824734495125,0.1306010825,0.95354663425,"alpha","influence_proba"
"162",2,6,3.3407200298,2.6978591825,4.0890179675,"alpha","influence_proba"
"163",3,6,2.000575170025,1.4040176975,2.687726645,"alpha","influence_proba"
"164",4,6,2.20258309457,1.41024898,3.2629215525,"alpha","influence_proba"
"165",5,6,1.590957452735,1.0624945525,2.2103751525,"alpha","influence_proba"
"166",6,6,0.3538226773401,0.063468248975,0.7293963075,"alpha","influence_proba"
"167",7,6,1.7108425366925,1.186005825,2.28194329,"alpha","influence_proba"
"168",8,6,1.287086441425,0.75975631825,1.9080947725,"alpha","influence_proba"
"169",9,6,2.881751865775,2.2133349125,3.6057349325,"alpha","influence_proba"
"170",10,6,1.1318108211225,0.63318375675,1.6707896775,"alpha","influence_proba"
"171",11,6,1.57878059952,0.99049617025,2.20586587,"alpha","influence_proba"
"172",12,6,0.565550269778125,0.126407729,1.10982531,"alpha","influence_proba"
"173",13,6,0.276673264331515,0.03584155275,0.645466125,"alpha","influence_proba"
"174",14,6,2.474573693075,1.800968105,3.25642507,"alpha","influence_proba"
"175",15,6,2.03946858475,1.41622567,2.791380545,"alpha","influence_proba"
"176",16,6,3.538753042525,2.5833308825,4.6158900125,"alpha","influence_proba"
"177",17,6,2.375681861725,1.5399425175,3.37412811,"alpha","influence_proba"
"178",18,6,0.257643148437907,0.022377721375,0.6296149125,"alpha","influence_proba"
"179",19,6,2.809678754425,2.08912399,3.6070681875,"alpha","influence_proba"
"180",20,6,0.36751983980765,0.0837303774,0.7451169585,"alpha","influence_proba"
"181",21,6,3.87962668675,3.03681584,4.809385725,"alpha","influence_proba"
"182",22,6,3.91435946705,2.8538851875,5.0925910525,"alpha","influence_proba"
"183",23,6,2.1067871861725,1.419972435,2.9513629925,"alpha","influence_proba"
"184",24,6,1.729300393135,1.1850672275,2.3034037025,"alpha","influence_proba"
"185",25,6,1.60949656881,1.0342208075,2.265120565,"alpha","influence_proba"
"186",26,6,0.261043330379747,0.0318118233,0.573586387,"alpha","influence_proba"
"187",27,6,4.653007757325,3.486925705,6.0016078025,"alpha","influence_proba"
"188",28,6,2.264775077875,1.726562365,2.90007466,"alpha","influence_proba"
"189",29,6,2.549804039925,1.7755437275,3.46749753,"alpha","influence_proba"
"190",30,6,2.427334306125,1.891064325,3.01752416,"alpha","influence_proba"
"191",31,6,0.345488761757801,0.035331518275,1.294852395,"alpha","influence_proba"
"192",32,6,2.86441089125,1.970312585,4.0786575475,"alpha","influence_proba"
"193",1,7,0.37788474288575,0.207446269,0.56200618225,"beta","influence_proba"
"194",2,7,0.1880415423185,0.0935202598,0.288120602,"beta","influence_proba"
