"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"loo_const_norm",0,0,-2842.42567662892,57.7558038518005,115.700980727055,4.95449844830404,5684.85135325783,115.511607703601
"LO_norm",-2.26269557753063,4.22994798124781,-2844.68837220644,57.2130221555176,113.257867967752,4.96463362308975,5689.37674441287,114.426044311035
"LO",-83.7795837739899,15.044416177855,-2926.20526040289,50.1880006992054,88.9183013663584,3.33946922811531,5852.41052080578,100.376001398411
"Proba",-126.966702835412,18.0898940076545,-2969.39237946431,47.9541475963669,81.5500401728514,3.00914606819897,5938.78475892863,95.9082951927338
