"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"LO_norm",0,0,2164.60627121125,120.08847907105,277.823420245233,10.5354789352721,-4329.2125424225,240.176958142099
"loo_const_norm",-99.5697303580802,23.5434503788513,2065.03654085316,121.144550720908,281.221752794887,11.7937692593298,-4130.07308170632,242.289101441815
"Proba",-349.499141468665,36.035543520288,1815.10712974257,118.122723190233,280.484388444575,12.167157246607,-3630.21425948513,236.245446380467
"LO",-374.219953339049,45.9693501952713,1790.38631787218,123.88740719498,355.086045346375,26.508417488866,-3580.77263574436,247.77481438996
