"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"LO_norm",0,0,5013.06453579981,97.4396283530848,157.608016839444,8.17916182616515,-10026.1290715996,194.87925670617
"loo_const_norm",-100.356940885085,22.7226068233214,4912.70759491472,97.63475725987,156.526062749823,8.79985889303724,-9825.41518982943,195.26951451974
"Proba",-224.774810295401,33.2229974636054,4788.28972550439,101.58192476096,192.512822718093,10.8801074784652,-9576.57945100878,203.16384952192
"LO",-295.044991577603,43.6962370769918,4718.01954422219,106.491330202354,264.621553567883,24.8991782280396,-9436.03908844438,212.982660404707
